n_rep_periods,clustering_type,weight_type,normalization,seed,regret_pct,mismatch_pct,total_time_s,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read,projection_error,max_weight_sum,cache_hit_rate,pgd_total_iters,termination_status,evaluation_termination_status,n_variables,n_constraints,eval_n_variables,eval_n_constraints,case_study,problem_class,source
20,chronological,convex,economic,653657,113.9040786672029,54.257859851848,17.508739749,0.005255875,0.15547475,0.291469458,1.053702083,17.061795541,0.272698583,770034.0774703614,1.0000000000000002,,226715,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,chronological,conical,economic,653657,102.79794978449837,52.277422062760145,15.4681195,0.0053035,0.21995825,0.108301292,0.682473875,15.139859958,0.272698583,737145.5446304065,1.337113229093547,,241089,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,chronological,conical_bounded,economic,653657,129.82556070402427,58.74981996100411,14.866374623999999,0.005176375,0.222208291,0.192332292,0.6533875,14.451834041,0.272698583,754475.5938774995,1.0000000000000002,,229396,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull,dirac,economic,653657,5.112395640316336,0.21424160817164534,7.112570333,0.005257875,0.85819225,1.0e-6,0.557673291,6.254377083,0.272698583,1.0530406846551264e6,1.0,39.4069681245367,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull,convex,economic,653657,4.990122935112407,5.163568132371352,13.862305624,0.005204,1.549844958,0.134840791,0.647506166,12.177619875,0.272698583,683459.8527404695,1.0000000000000002,39.4069681245367,190537,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull,conical,economic,653657,5.669409686840665,6.919486063539409,14.647540916999999,0.00523575,0.84558125,0.083343708,0.629383333,13.718615959,0.272698583,664115.3907641929,1.2752618581582316,39.4069681245367,205929,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull,conical_bounded,economic,653657,5.298466667194179,5.4751772530673,19.105972875,0.005245042,0.848723333,0.150344375,0.680338209,18.106905167,0.272698583,673420.9255343194,1.0000000000000002,39.4069681245367,198127,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull_with_null,dirac,economic,653657,1.8566117625454348,4.182351097855215,6.157491165,0.005212334,0.903887416,1.041e-6,0.561247584,5.253602708,0.272698583,1.0660762542995298e6,1.0,38.748241912798875,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull_with_null,convex,economic,653657,7.870468254153873,23.439252538210415,18.2970735,0.00549925,1.477874875,0.132706542,0.615183417,16.686492083,0.272698583,721756.1027226945,1.0000000000000002,38.748241912798875,196111,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull_with_null,conical,economic,653657,5.797863043044571,18.85672362981975,20.917035834,0.00520975,1.435349,0.06949875,0.622465333,19.412188084,0.272698583,664034.4914377483,1.269143660200941,38.748241912798875,205543,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,convex_hull_with_null,conical_bounded,economic,653657,4.356331198155972,15.729491653493627,19.106513334,0.005246667,0.895812708,0.157155209,0.622353625,18.053545417,0.272698583,673197.7191915738,1.0000000000000002,38.748241912798875,203168,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,conical_hull,dirac,economic,653657,6.680006574935193,13.304894092331496,5.500560416,0.00539825,0.398589666,8.75e-7,0.575699916,5.101969875,0.272698583,1.115835788131736e6,1.0,35.552260934025206,0,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,conical_hull,convex,economic,653657,9.540347595810461,22.471642801861353,7.612498624,0.005289791,0.385219291,0.111802083,0.593280041,7.11547725,0.272698583,831670.3726544824,1.0000000000000002,35.552260934025206,140678,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,conical_hull,conical,economic,653657,7.231254557996225,19.071884311169015,16.337032918,0.00519725,0.34625975,0.073461334,0.702452917,15.917311834,0.272698583,693057.756526996,1.6458538381177565,35.552260934025206,168987,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
20,conical_hull,conical_bounded,economic,653657,10.223630711389763,21.85378991852328,7.5743160409999994,0.005240042,0.396072791,0.118074375,0.6170475,7.060168875,0.272698583,831834.7275054615,1.0000000000000002,35.552260934025206,140755,OPTIMAL,OPTIMAL,81706,248714,1489306,3959534,gep,investment,tyndp
40,k_means,dirac,economic,653657,131.60933986935396,65.25599647087493,12.483186666,0.005276333,0.2299745,9.16e-7,0.948730292,12.25321125,0.272698583,703896.6715826314,1.0,,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_means,convex,economic,653657,135.7694884736759,65.71589812959974,41.005749793,0.005267709,0.159425209,0.580476959,0.917889084,40.265847625,0.272698583,646385.501606572,1.0000000000000002,,383087,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_means,conical,economic,653657,120.43378288001053,63.2236312188958,29.600008874,0.005200209,0.200319333,0.358584,0.960240834,29.041105541,0.272698583,628338.5346921181,1.3729642490425769,,431403,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_means,conical_bounded,economic,653657,135.96980965386877,65.87170632649861,34.300942292,0.005230167,0.646114875,0.721968917,0.91363575,32.9328585,0.272698583,641771.5017902717,1.0000000000000002,,391812,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_medoids,dirac,economic,653657,28.975493566230725,27.68245503726542,10.981675291999998,0.005167,0.1566245,1.542e-6,0.935669375,10.82504925,0.272698583,878306.0349379709,1.0,,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_medoids,convex,economic,653657,38.58597083894657,32.5610453776733,28.485790124,0.005253042,0.231734,0.460487791,0.982706583,27.793568333,0.272698583,652883.0498288488,1.0000000000000002,,321509,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_medoids,conical,economic,653657,38.284792781297774,31.9970848987884,28.993548501,0.005217,0.229012584,0.295244042,1.005618084,28.469291875,0.272698583,629241.2694870196,1.3906308949166049,,348609,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,k_medoids,conical_bounded,economic,653657,40.07743961106301,33.60884115147832,30.47911125,0.00521025,0.15047575,1.114397,0.94608575,29.2142385,0.272698583,647516.7936260846,1.0000000000000002,,325695,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,hierarchical,dirac,economic,653657,15.955999425794932,16.72675322690189,12.972781332999999,0.005235167,0.149281916,1.583e-6,0.916111792,12.823497834,0.272698583,894045.8819346086,1.0,,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,hierarchical,convex,economic,653657,20.889605612151275,19.615123965433853,25.078806375000003,0.00519875,0.152287583,0.518174,1.006348916,24.408344792,0.272698583,645858.7599368312,1.0000000000000004,,334421,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,hierarchical,conical,economic,653657,17.099381530897073,16.466122532658016,26.771645334,0.005247625,0.189964,0.306280167,0.9929785,26.275401167,0.272698583,623429.6552996491,1.3904104315193866,,352028,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,hierarchical,conical_bounded,economic,653657,20.884150441369265,20.565676962599436,25.274519916,0.005171625,0.150135083,0.505182,0.904672083,24.619202833,0.272698583,637975.7185443251,1.0000000000000002,,334359,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,chronological,dirac,economic,653657,38.595455487850394,29.076812202309014,6.540659334,0.005194875,0.219068834,2.125e-6,0.927963541,6.321588375,0.272698583,1.0532766718733418e6,1.0,,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,chronological,convex,economic,653657,38.86943970204766,30.132718552790703,28.174563041,0.005240958,0.151873833,0.508487958,0.916074584,27.51420125,0.272698583,669729.8524574473,1.0000000000000002,,336092,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,chronological,conical,economic,653657,36.702656955098334,29.139284608694012,31.721938459,0.005240042,0.194907,0.291898917,0.936709125,31.235132542,0.272698583,640832.6508048272,1.2875357916794041,,351877,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,chronological,conical_bounded,economic,653657,42.03315092342827,32.708605661697554,30.378061292,0.005197292,0.150787583,0.512430125,0.922416458,29.714843584,0.272698583,655390.192063095,1.0000000000000002,,336848,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull,dirac,economic,653657,2.3157565911180455,3.6428528168908736,19.785710876,0.005241166,2.366502125,1.917e-6,0.849319459,17.419206834,0.272698583,967337.3592936341,1.0,55.80081753994798,0,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull,convex,economic,653657,3.075797126790536,9.042080047503372,23.923342375,0.005532792,2.767589917,0.332483875,0.963724709,20.823268583,0.272698583,603469.8251860148,1.0000000000000004,55.80081753994798,291017,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
40,convex_hull,conical,economic,653657,2.9065220386787383,12.538198077827804,29.149899333,0.005153208,2.320187458,0.262964583,0.934109209,26.566747292,0.272698583,584906.079847092,1.30706603428146,55.80081753994798,314060,OPTIMAL,OPTIMAL,163306,463834,1489306,3959534,gep,investment,tyndp
