case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,80,k_means,conical_bounded,economic,5,20.13276246001087,8.7,24.966485846951546,108.3134416162,18.2,false,false,false
gep,investment,tyndp,80,k_medoids,dirac,economic,5,4.098821702401247,2.4,6.535593485669634,33.9940278998,3.6,false,false,false
gep,investment,tyndp,80,k_medoids,convex,economic,5,3.3196742700217903,2.6,3.6236539432484305,95.9535361666,21.5,false,false,false
gep,investment,tyndp,80,k_medoids,conical,economic,5,2.8961254787903634,2.1,3.773353343400209,94.23918725800002,16.3,false,false,false
gep,investment,tyndp,80,k_medoids,conical_bounded,economic,5,3.5124867421647155,3.0,3.7363492929081823,98.4487867168,18.3,false,false,false
gep,investment,tyndp,80,hierarchical,dirac,economic,5,2.3522168015970513,0.0,4.303797372771964,47.9898799502,0.4,true,false,false
gep,investment,tyndp,80,hierarchical,convex,economic,5,2.5021168266561977,0.0,0.8588978628804822,120.73846866660001,0.5,true,false,false
gep,investment,tyndp,80,hierarchical,conical,economic,5,2.7713267742196512,0.0,0.36780067248465614,129.5882285332,1.4,true,false,false
gep,investment,tyndp,80,hierarchical,conical_bounded,economic,5,3.2432390868679883,0.0,2.196093032396081,118.29214688340001,1.1,true,false,false
gep,investment,tyndp,80,chronological,dirac,economic,5,4.647241812660896,0.0,7.947765359718128,12.4934042498,0.3,true,false,false
gep,investment,tyndp,80,chronological,convex,economic,5,4.475582542833623,0.0,8.919571033930563,111.14339356659998,0.8,true,false,false
gep,investment,tyndp,80,chronological,conical,economic,5,4.465748339971953,0.0,8.45956917376134,128.99895725,0.4,true,false,false
gep,investment,tyndp,80,chronological,conical_bounded,economic,5,4.429045861874159,0.0,9.32464427383611,146.93563043299997,1.2,true,false,false
gep,investment,tyndp,80,convex_hull,dirac,economic,5,1.3161555589601193,0.0,2.213505850144467,49.2326940082,0.5,true,true,true
gep,investment,tyndp,80,convex_hull,convex,economic,5,1.3785403344528824,0.0,6.489756744277844,83.9756104828,0.4,true,true,true
gep,investment,tyndp,80,convex_hull,conical,economic,5,2.3503299965780045,0.0,8.329957368177439,120.5337608666,0.8,true,false,false
gep,investment,tyndp,80,convex_hull,conical_bounded,economic,5,1.5149175942260618,0.0,6.18214706889172,99.9933995498,0.7,true,true,true
gep,investment,tyndp,80,convex_hull_with_null,dirac,economic,5,1.7184827194827392,0.0,1.1426254864626069,55.2401798,0.5,true,false,true
gep,investment,tyndp,80,convex_hull_with_null,convex,economic,5,1.711194893467738,0.0,5.447873365694936,104.609879475,0.4,true,true,true
gep,investment,tyndp,80,convex_hull_with_null,conical,economic,5,2.411367841871037,0.0,5.8719805294534755,86.7931241502,0.3,true,false,false
gep,investment,tyndp,80,convex_hull_with_null,conical_bounded,economic,5,1.653611493943408,0.0,4.146525509729416,115.2912683412,1.0,true,false,true
gep,investment,tyndp,80,conical_hull,dirac,economic,5,3.649384412585821,0.0,0.4232605600049769,28.0862311582,0.8,true,false,false
gep,investment,tyndp,80,conical_hull,convex,economic,5,3.8834458860447008,0.0,10.396524771632592,113.5129988088,0.9,true,false,false
gep,investment,tyndp,80,conical_hull,conical,economic,5,3.6880124030530537,0.0,11.695730994261309,105.647090808,1.1,true,false,false
gep,investment,tyndp,80,conical_hull,conical_bounded,economic,5,3.904138698698234,0.0,10.237151792911959,122.8564733918,1.7,true,false,false
gep,investment,tyndp,10,k_means,dirac,unscaled,5,416.41712700442423,45.3,84.87290206480068,1.62824415,0.0,false,false,false
gep,investment,tyndp,10,k_means,convex,unscaled,5,411.76316808248185,32.5,84.76526654298166,2.1567401,0.4,false,false,false
gep,investment,tyndp,10,k_means,conical,unscaled,5,419.8648489848221,42.9,84.89152490850465,2.0983296332,0.4,false,false,false
gep,investment,tyndp,10,k_means,conical_bounded,unscaled,5,417.2669171992575,34.2,85.03676054160071,2.0982315498,0.5,false,false,false
gep,investment,tyndp,10,k_medoids,dirac,unscaled,5,133.89298451998576,68.9,59.148541547870686,1.7665947166000002,0.1,false,false,false
gep,investment,tyndp,10,k_medoids,convex,unscaled,5,137.5973541542575,73.5,59.39986624364176,2.0896130164000004,0.1,false,false,false
gep,investment,tyndp,10,k_medoids,conical,unscaled,5,139.01390924551637,76.7,59.39487922157235,2.0429156586,0.4,false,false,false
gep,investment,tyndp,10,k_medoids,conical_bounded,unscaled,5,146.84609493072364,82.5,60.6050846506403,2.1574750082,0.4,false,false,false
gep,investment,tyndp,10,hierarchical,dirac,unscaled,5,79.299128331738,0.0,52.22339260386201,1.7711944502,0.2,true,false,false
gep,investment,tyndp,10,hierarchical,convex,unscaled,5,80.49633447257321,0.0,52.201299477498175,1.8738959168,0.3,true,false,false
gep,investment,tyndp,10,hierarchical,conical,unscaled,5,82.82099820820031,0.0,52.78828839276515,2.0530447834000003,0.1,true,false,false
gep,investment,tyndp,10,hierarchical,conical_bounded,unscaled,5,81.10621835947629,0.0,52.62865282321154,2.3499563498000002,0.3,true,false,false
gep,investment,tyndp,10,chronological,dirac,unscaled,5,200.33240297697859,0.0,70.17875189111744,1.2196061496,0.1,true,true,false
gep,investment,tyndp,10,chronological,convex,unscaled,5,194.74271700035345,0.0,69.71607061399143,1.8232137502,0.2,true,false,false
gep,investment,tyndp,10,chronological,conical,unscaled,5,183.43711178202207,0.0,68.4197221575674,2.1714404586000002,0.3,true,false,false
gep,investment,tyndp,10,chronological,conical_bounded,unscaled,5,195.22077970629482,0.0,69.865414031921,1.863421967,0.1,true,false,false
gep,investment,tyndp,10,convex_hull,dirac,unscaled,5,22.739336655277718,0.0,8.587361781576593,2.0778569416000003,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,convex,unscaled,5,22.379804673607474,0.0,13.126009807471618,2.6480461416,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,conical,unscaled,5,25.865767157996423,0.0,12.974397410514976,2.9331200754,0.3,true,false,false
gep,investment,tyndp,10,convex_hull,conical_bounded,unscaled,5,19.638156102195016,0.0,12.8272671870232,2.9445267414,0.3,true,false,false
