case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
5bus,hierarchical,conical_bounded,40,199967.77303716505,0.0,1.0000000000000002,17196.87881498859,0.0
5bus,hierarchical,conical_bounded,80,201567.5996463842,0.0,1.0000000000000002,17193.335907850986,0.0
5bus,hierarchical,conical,10,217307.61998216007,0.0,1.5071951359204454,42331.731998773335,0.0
5bus,hierarchical,conical,20,195071.83904951598,0.0,1.5992349907646641,36100.27985270903,0.0
5bus,hierarchical,conical,40,205531.20620155643,0.0,1.6009978925170327,17069.604409834064,0.0
5bus,hierarchical,conical,80,213073.53637667265,0.0,1.7002370765741008,16999.690679516083,0.0
5bus,chronological,dirac,10,197385.42586194805,0.0,1.0,37686.45925713723,0.0
5bus,chronological,dirac,20,202370.23196765952,0.0,1.0,23963.601470315032,0.0
5bus,chronological,dirac,40,202762.20419773296,0.0,1.0,23562.182585486273,0.0
5bus,chronological,dirac,80,196617.32073796447,0.0,1.0,15021.776358390165,0.0
5bus,chronological,convex,10,180730.47600247306,0.0,1.0000000000000002,35428.61739562787,0.0
5bus,chronological,convex,20,202893.45064793734,0.0,1.0000000000000002,24001.199701951824,0.0
5bus,chronological,convex,40,203653.07210394574,0.0,1.0000000000000002,23731.06262407415,0.0
5bus,chronological,convex,80,194824.78712407767,0.0,1.0000000000000002,15158.073789653401,0.0
5bus,chronological,conical_bounded,10,180482.4159469364,0.0,1.0,35466.82646562753,0.0
5bus,chronological,conical_bounded,20,200643.29373338903,0.0,1.0000000000000002,24248.11375633175,0.0
5bus,chronological,conical_bounded,40,202032.69557288403,0.0,1.0000000000000002,23858.139633085048,0.0
5bus,chronological,conical_bounded,80,193630.1855381258,0.0,1.0000000000000002,15429.337341619594,0.0
5bus,chronological,conical,10,206877.8280716888,0.0,2.530321024172794,36047.653425465476,0.0
5bus,chronological,conical,20,206495.26908769167,0.0,2.7273629705065714,23318.17072621324,0.0
5bus,chronological,conical,40,218557.91570704352,0.0,2.1818451065863416,23337.333167457462,0.0
5bus,chronological,conical,80,205540.27016150442,0.0,1.9637207941776968,14247.982535957275,0.0
5bus,convex_hull,dirac,10,205164.7512224142,0.0,1.0,20012.062190422228,0.0
5bus,convex_hull,dirac,20,199987.6848500985,0.0,1.0,20036.345545284275,0.0
5bus,convex_hull,dirac,40,202386.23394641923,0.0,1.0,20050.589182934847,0.0
5bus,convex_hull,dirac,80,196039.7219491934,0.0,1.0,14962.287312696539,0.0
5bus,convex_hull,convex,10,204426.48856153272,0.0,1.0000000000000002,20080.932717741536,0.0
5bus,convex_hull,convex,20,198936.09446383754,0.0,1.0000000000000002,20049.866925103543,0.0
5bus,convex_hull,convex,40,201966.9210138024,0.0,1.0000000000000002,20036.35940015496,0.0
5bus,convex_hull,convex,80,196137.43767557747,0.0,1.0000000000000002,14941.028425593855,0.0
5bus,convex_hull,conical_bounded,10,200251.8639502299,0.0,1.0,20349.220222903885,0.0
5bus,convex_hull,conical_bounded,20,197525.24189539053,0.0,1.0000000000000002,20153.77924613791,0.0
5bus,convex_hull,conical_bounded,40,198950.72398665044,0.0,1.0000000000000004,20150.96360816144,0.0
5bus,convex_hull,conical_bounded,80,194156.14225224897,0.0,1.0000000000000002,15190.557897327428,0.0
5bus,convex_hull,conical,10,202572.85162857064,0.0,1.6903727573851501,20522.31637542668,0.0
5bus,convex_hull,conical,20,196654.90592091036,0.0,1.863790665931684,20128.421747411012,0.0
5bus,convex_hull,conical,40,198373.73361531412,0.0,1.7650640480412385,20089.009850341594,0.0
