clustering_type,weight_type,arm,n_rep_periods,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,mismatch_sd_pct,time_mean_s,time_sd_s,iters_mean,iters_sd
conical_hull,convex,gram_only,10,5,0.651763139892636,0.0,11.111452687623014,0.0,0.5316791251999999,0.10262734417948398,1.410415e6,0.0
conical_hull,convex,gram_only,20,5,0.6853048551399787,0.0,1.4376833150572803,0.0,4.0030720416,0.0848344758446001,7.944843e6,0.0
conical_hull,convex,gram_only,40,5,1.2071326199598165,0.0,1.2567948477349051,0.0,7.050418066000001,0.19481663084704096,7.491933e6,0.0
conical_hull,convex,gram_only,80,5,-4.884981308350689e-13,0.0,1.0677256128109989,0.0,13.3721605914,8.446919893876368,4.0e6,0.0
conical_hull,convex,plain,10,5,0.651763139893724,0.0,11.111452687622073,0.0,1.1691545334,0.09414033082904899,1.410415e6,0.0
conical_hull,convex,plain,20,5,0.6853048551485053,0.0,1.437683315120593,0.0,9.6289718252,0.6291248475324956,7.944843e6,0.0
conical_hull,convex,plain,40,5,1.2072718953202832,0.0,1.2566555042908834,0.0,15.6256985826,0.792919874383463,7.491933e6,0.0
conical_hull,convex,plain,80,5,-4.3298697960381105e-13,0.0,1.067725612800908,0.0,16.5881319498,0.5189279693056378,4.0e6,0.0
conical_hull,conical,proposed,10,5,0.7823359249855333,0.0,9.761097971866036,0.0,0.05336562500000001,0.016598896368913325,44759.0,0.0
conical_hull,conical,proposed,20,5,0.5974360803233214,0.0,0.13501206449366177,0.0,0.290834,0.11000097139220542,357754.0,0.0
conical_hull,conical,proposed,40,5,0.18677860874467545,0.0,0.1380492748250108,0.0,1.2675367248,0.10982520894461963,1.358769e6,0.0
conical_hull,conical,proposed,80,5,-6.228351168147128e-12,0.0,0.6451542255884668,0.0,3.1600776424,0.12118272194388223,1.811264e6,0.0
conical_hull,conical,no_cache,10,5,0.6274510550912105,0.0,9.500675559731203,0.0,0.0542162586,0.00611196302231466,52188.0,0.0
conical_hull,conical,no_cache,20,5,0.21582123202914527,0.0,0.7254575598979837,0.0,0.2429342746,0.08200199645129283,221465.0,0.0
conical_hull,conical,no_cache,40,5,0.29377280269322625,0.0,0.13954770081948475,0.0,1.1992460668000002,0.12868283300576153,1.264423e6,0.0
conical_hull,conical,no_cache,80,5,-1.4088730182493236e-11,0.0,0.5921388460916933,0.0,4.8858010082,0.09154048030838507,2.284701e6,0.0
conical_hull,conical,gram_only,10,5,0.7800166926962504,0.0,9.761294920247119,0.0,0.2999072922,0.09016786173674196,1.463722e6,0.0
conical_hull,conical,gram_only,20,5,0.5132837784712629,0.0,0.11319181585055038,0.0,1.8459958835999999,0.1010567502116816,7.968562e6,0.0
conical_hull,conical,gram_only,40,5,0.26881606972379846,0.0,3.1725665525293034,0.0,3.9461823752000003,0.05991399265489171,7.507631e6,0.0
conical_hull,conical,gram_only,80,5,-3.552713678800501e-13,0.0,3.3646037887022606,0.0,5.650005941799999,0.060810756472444424,4.0e6,0.0
conical_hull,conical,plain,10,5,0.7800166927111052,0.0,9.76129492024502,0.0,0.9846506416,0.16876213061625678,1.463722e6,0.0
conical_hull,conical,plain,20,5,0.5132837784258992,0.0,0.11319181581475901,0.0,7.505848449999999,0.4495269181594603,7.968562e6,0.0
conical_hull,conical,plain,40,5,0.26881606973470085,0.0,3.1725665524979436,0.0,13.0499867252,0.6502271942119117,7.507631e6,0.0
conical_hull,conical,plain,80,5,-3.2862601528904634e-12,0.0,3.36460378872986,0.0,12.865248708600001,0.45682942010107147,4.0e6,0.0
