case_study,clustering_type,weight_type,n_rep_periods,curtailment_mean_pct,curtailment_sd_pct,n_seeds
118bus,convex_hull_with_null,convex,80,14.96312794735976,0.0,1
118bus,convex_hull_with_null,conical_bounded,10,14.963127947359485,0.0,1
118bus,convex_hull_with_null,conical_bounded,20,14.963127947359414,0.0,1
118bus,convex_hull_with_null,conical_bounded,40,14.963127947359506,0.0,1
118bus,convex_hull_with_null,conical_bounded,80,14.963127947359485,0.0,1
118bus,convex_hull_with_null,conical,10,14.963127947359794,0.0,1
118bus,convex_hull_with_null,conical,20,14.963127947359599,0.0,1
118bus,convex_hull_with_null,conical,40,14.963127947359473,0.0,1
118bus,convex_hull_with_null,conical,80,14.963127947359334,0.0,1
118bus,conical_hull,dirac,10,14.96312794735961,0.0,1
118bus,conical_hull,dirac,20,14.96312794735945,0.0,1
118bus,conical_hull,dirac,40,14.963127947359828,0.0,1
118bus,conical_hull,dirac,80,14.963127947359553,0.0,1
118bus,conical_hull,convex,10,14.963127947359542,0.0,1
118bus,conical_hull,convex,20,14.963127947359347,0.0,1
118bus,conical_hull,convex,40,14.96312794735975,0.0,1
118bus,conical_hull,convex,80,14.963127947359657,0.0,1
118bus,conical_hull,conical_bounded,10,14.963127947359506,0.0,1
118bus,conical_hull,conical_bounded,20,14.963127947359357,0.0,1
118bus,conical_hull,conical_bounded,40,14.963127947359565,0.0,1
118bus,conical_hull,conical_bounded,80,14.963127947359174,0.0,1
118bus,conical_hull,conical,10,14.96312794735929,0.0,1
118bus,conical_hull,conical,20,14.963127947359645,0.0,1
118bus,conical_hull,conical,40,14.963127947359657,0.0,1
118bus,conical_hull,conical,80,14.963127947359542,0.0,1
