case_study,clustering_type,weight_type,n_rep_periods,stage,time_mean_s,time_sd_s,method_label
gep,convex_hull,convex,80,formulate_model,1.656680125,0.11344152623125746,
gep,convex_hull,convex,80,solve,74.843888875,0.2965416075606675,
gep,,,1,solve,72.4177498,0.6098334493856552,full_reference
5bus,k_means,dirac,10,read_preprocess,0.0035541998,3.3333753789514905e-5,
5bus,k_means,dirac,10,cluster,0.0415073166,0.053630653590588065,
5bus,k_means,dirac,10,fit_weights,8.416e-7,1.07922657491372e-7,
5bus,k_means,dirac,10,formulate_model,0.0632343334,0.0005528466685974506,
5bus,k_means,dirac,10,solve,0.0625478996,0.004395108890319018,
5bus,k_means,dirac,20,read_preprocess,0.0043433582,0.0017545698915048097,
5bus,k_means,dirac,20,cluster,0.028464208600000002,0.022567060851503885,
5bus,k_means,dirac,20,fit_weights,1.2420000000000001e-6,3.6128658984246843e-7,
5bus,k_means,dirac,20,formulate_model,0.083424575,0.0007674097079715668,
5bus,k_means,dirac,20,solve,0.1398056002,0.0248385753818784,
5bus,k_means,dirac,40,read_preprocess,0.0035274834,9.807521516315932e-5,
5bus,k_means,dirac,40,cluster,0.0185646168,0.0004141023597327126,
5bus,k_means,dirac,40,fit_weights,1.0581999999999999e-6,5.260030418162997e-7,
5bus,k_means,dirac,40,formulate_model,0.1642121668,0.024389241982590768,
5bus,k_means,dirac,40,solve,0.24646275,0.008836544534945973,
5bus,k_means,dirac,80,read_preprocess,0.0038075914,0.0001452202023559395,
5bus,k_means,dirac,80,cluster,0.019698475,0.00016040389083342102,
5bus,k_means,dirac,80,fit_weights,1.0334e-6,3.8919635147313494e-7,
5bus,k_means,dirac,80,formulate_model,0.25478343299999995,0.0014308186085949144,
5bus,k_means,dirac,80,solve,0.4369889079999999,0.04721368853056495,
5bus,k_means,convex,10,read_preprocess,0.0035968584,2.9066413345990972e-5,
5bus,k_means,convex,10,cluster,0.0176689332,0.00017954966957975746,
5bus,k_means,convex,10,fit_weights,0.0503461418,0.03641716926023329,
5bus,k_means,convex,10,formulate_model,0.06475643319999999,0.0006436372023552552,
5bus,k_means,convex,10,solve,0.0662349914,0.007258194014488713,
5bus,k_means,convex,20,read_preprocess,0.0035512586,0.00014879782518336767,
5bus,k_means,convex,20,cluster,0.018244083,0.00033010383376977023,
5bus,k_means,convex,20,fit_weights,0.23427065019999999,0.12038253032027187,
5bus,k_means,convex,20,formulate_model,0.1300654248,0.1011408423586116,
5bus,k_means,convex,20,solve,0.16826677480000002,0.10172811710032748,
5bus,k_means,convex,40,read_preprocess,0.0037213166,7.1968687714172e-5,
5bus,k_means,convex,40,cluster,0.0192155834,0.00021286706428144274,
5bus,k_means,convex,40,fit_weights,0.5407951166,0.13837564151655427,
5bus,k_means,convex,40,formulate_model,0.1204529584,0.004979430937760945,
5bus,k_means,convex,40,solve,0.2741204246,0.013199084884853851,
5bus,k_means,convex,80,read_preprocess,0.0037265083999999996,1.946954973285214e-5,
5bus,k_means,convex,80,cluster,0.0196479416,0.00024654814366224743,
5bus,k_means,convex,80,fit_weights,1.5161398836,0.16108405789329766,
5bus,k_means,convex,80,formulate_model,0.2008544418,0.005610024529513364,
5bus,k_means,convex,80,solve,0.6407537668,0.04787497088825547,
5bus,hierarchical,dirac,10,read_preprocess,0.0035151998000000004,6.494598110121985e-5,
5bus,hierarchical,dirac,10,cluster,0.0182392668,0.000566332275757086,
5bus,hierarchical,dirac,10,fit_weights,1.4331999999999999e-6,4.882992934666198e-7,
5bus,hierarchical,dirac,10,formulate_model,0.0894959084,0.02586640940979423,
5bus,hierarchical,dirac,10,solve,0.0586761748,0.0004883650495077441,
5bus,hierarchical,dirac,20,read_preprocess,0.0035657248000000004,0.00013884795339219093,
5bus,hierarchical,dirac,20,cluster,0.0179185246,0.0003019098639243172,
5bus,hierarchical,dirac,20,fit_weights,1.1416e-6,5.202857868518032e-7,
5bus,hierarchical,dirac,20,formulate_model,0.1049507248,0.004665577448677245,
5bus,hierarchical,dirac,20,solve,0.1359694502,0.004231286737766497,
5bus,hierarchical,dirac,40,read_preprocess,0.0037224085999999997,2.857231490971626e-5,
5bus,hierarchical,dirac,40,cluster,0.018964767,0.00033289979396133575,
5bus,hierarchical,dirac,40,fit_weights,1.2663999999999999e-6,6.538859227724665e-7,
5bus,hierarchical,dirac,40,formulate_model,0.1681104082,0.028880091969351575,
5bus,hierarchical,dirac,40,solve,0.24402785000000002,0.042878293165267735,
5bus,hierarchical,dirac,80,read_preprocess,0.0038329584,0.00017852374797292376,
5bus,hierarchical,dirac,80,cluster,0.0200846998,0.0022167557693862443,
5bus,hierarchical,dirac,80,fit_weights,1.3084e-6,4.636704648778052e-7,
5bus,hierarchical,dirac,80,formulate_model,0.2698544416,0.028370894824928047,
5bus,hierarchical,dirac,80,solve,0.3963487248,0.007825198736152719,
5bus,hierarchical,convex,10,read_preprocess,0.0035924418,4.6721806029947135e-5,
5bus,hierarchical,convex,10,cluster,0.0277041,0.020810809526982884,
5bus,hierarchical,convex,10,fit_weights,0.10487362519999999,0.09489299776319973,
5bus,hierarchical,convex,10,formulate_model,0.0777383834,0.007859558618446541,
5bus,hierarchical,convex,10,solve,0.0563172,0.001533759455884137,
5bus,hierarchical,convex,20,read_preprocess,0.0035333249999999995,0.0001278452109056103,
5bus,hierarchical,convex,20,cluster,0.0644367666,0.10390044970437126,
5bus,hierarchical,convex,20,fit_weights,0.2582210334,0.11539996890222944,
5bus,hierarchical,convex,20,formulate_model,0.0933551918,0.013609660899133185,
5bus,hierarchical,convex,20,solve,0.1273085,0.00530843145862801,
5bus,hierarchical,convex,40,read_preprocess,0.0036376330000000004,7.910478612258552e-5,
5bus,hierarchical,convex,40,cluster,0.06643979159999999,0.10664654952862268,
5bus,hierarchical,convex,40,fit_weights,0.5952705417999999,0.11457413656470743,
5bus,hierarchical,convex,40,formulate_model,0.1196665666,0.0026571792767459807,
5bus,hierarchical,convex,40,solve,0.28480151659999997,0.004268622691678519,
5bus,hierarchical,convex,80,read_preprocess,0.0037331334,3.488290082260929e-5,
5bus,hierarchical,convex,80,cluster,0.0209722252,0.00488032274808805,
5bus,hierarchical,convex,80,fit_weights,1.4956610832,0.02773571467462772,
5bus,hierarchical,convex,80,formulate_model,0.2042680166,0.004611137955479999,
5bus,hierarchical,convex,80,solve,0.48895440020000003,0.019871455586337555,
5bus,chronological,dirac,10,read_preprocess,0.0035235168000000002,6.578363953674191e-5,
5bus,chronological,dirac,10,cluster,0.017768216799999997,0.0005492830684844571,
5bus,chronological,dirac,10,fit_weights,1.3418e-6,4.0951886403436893e-7,
5bus,chronological,dirac,10,formulate_model,0.0776524584,0.0006228033934636215,
5bus,chronological,dirac,10,solve,0.0330694668,0.00013810024196466824,
5bus,chronological,dirac,20,read_preprocess,0.0035402084,0.00012560201298864593,
5bus,chronological,dirac,20,cluster,0.0174880164,0.0001064339701613165,
5bus,chronological,dirac,20,fit_weights,3.1002e-6,3.851194645820957e-6,
5bus,chronological,dirac,20,formulate_model,0.1042144998,0.0014219175494903724,
5bus,chronological,dirac,20,solve,0.0936713916,0.003739445311117183,
5bus,chronological,dirac,40,read_preprocess,0.0038286748,0.00020493603960919146,
5bus,chronological,dirac,40,cluster,0.0182383582,0.00023873363182991129,
5bus,chronological,dirac,40,fit_weights,1.9e-6,1.2971202719871432e-6,
5bus,chronological,dirac,40,formulate_model,0.153577,0.0008411342577635867,
5bus,chronological,dirac,40,solve,0.1939873666,0.009308314774452863,
5bus,chronological,dirac,80,read_preprocess,0.0044650248,0.0018155797838447364,
5bus,chronological,dirac,80,cluster,0.0183462168,0.00028189702021163675,
5bus,chronological,dirac,80,fit_weights,1.4666e-6,3.476130032090284e-7,
5bus,chronological,dirac,80,formulate_model,0.2557099418,0.0023881397593801374,
5bus,chronological,dirac,80,solve,0.3642892752,0.005068793624200015,
5bus,chronological,convex,10,read_preprocess,0.003531683,8.022953992451906e-5,
5bus,chronological,convex,10,cluster,0.06347089980000001,0.10205005381163339,
5bus,chronological,convex,10,fit_weights,0.0782338334,0.1016693880849797,
5bus,chronological,convex,10,formulate_model,0.07762671659999999,0.00666580046215496,
5bus,chronological,convex,10,solve,0.0457806668,0.0012900237165483447,
5bus,chronological,convex,20,read_preprocess,0.0035008166,0.00010597145172545295,
5bus,chronological,convex,20,cluster,0.017233275,0.00038271099551815785,
5bus,chronological,convex,20,fit_weights,0.20480427520000002,0.0889066608411993,
5bus,chronological,convex,20,formulate_model,0.0975624998,0.01299014574981477,
5bus,chronological,convex,20,solve,0.1223409084,0.0010170862563088248,
5bus,chronological,convex,40,read_preprocess,0.0036943502000000004,7.624851568850377e-5,
5bus,chronological,convex,40,cluster,0.0183226334,0.0001551847298344782,
5bus,chronological,convex,40,fit_weights,0.5589643168,0.00621127675305718,
5bus,chronological,convex,40,formulate_model,0.11994539159999999,0.0010433365891536655,
5bus,chronological,convex,40,solve,0.2711253998,0.008527111671002193,
5bus,chronological,convex,80,read_preprocess,0.0037293834000000003,4.364743476196496e-5,
5bus,chronological,convex,80,cluster,0.0184326416,0.00017879367237349323,
5bus,chronological,convex,80,fit_weights,1.327552983,0.03175921550881058,
5bus,chronological,convex,80,formulate_model,0.20023231680000003,0.003528070591808461,
5bus,chronological,convex,80,solve,0.459676533,0.005689090583055906,
5bus,convex_hull,dirac,10,read_preprocess,0.0034636918000000004,0.00010628053482270411,
5bus,convex_hull,dirac,10,cluster,0.1139251416,0.10116345212092935,
5bus,convex_hull,dirac,10,fit_weights,1.1249999999999998e-6,2.5838730618975846e-7,
5bus,convex_hull,dirac,10,formulate_model,0.0629402582,0.0006328995812178263,
5bus,convex_hull,dirac,10,solve,0.0533143166,0.0004096652221006793,
5bus,convex_hull,dirac,20,read_preprocess,0.0034816084000000003,7.536758234347176e-5,
5bus,convex_hull,dirac,20,cluster,0.2947083,0.10526035559487547,
5bus,convex_hull,dirac,20,fit_weights,1.1e-6,1.1270093167316768e-7,
5bus,convex_hull,dirac,20,formulate_model,0.08166610839999999,0.0019996371324974916,
5bus,convex_hull,dirac,20,solve,0.10372279180000002,0.001826472347463463,
5bus,convex_hull,dirac,40,read_preprocess,0.003819467,0.00019219057984068823,
5bus,convex_hull,dirac,40,cluster,1.0585303748000001,0.02606358249512489,
5bus,convex_hull,dirac,40,fit_weights,1.0336000000000001e-6,1.8455703725406952e-7,
5bus,convex_hull,dirac,40,formulate_model,0.115578958,0.004438598665951788,
5bus,convex_hull,dirac,40,solve,0.1926211666,0.010769900019576166,
5bus,convex_hull,dirac,80,read_preprocess,0.003691725,2.6252959756949254e-5,
5bus,convex_hull,dirac,80,cluster,3.3486575754,0.19975921371822258,
5bus,convex_hull,dirac,80,fit_weights,1.8084e-6,2.0080786837173497e-7,
5bus,convex_hull,dirac,80,formulate_model,0.2565543752,0.01387635891661305,
5bus,convex_hull,dirac,80,solve,0.4097128834,0.006502537576735697,
5bus,convex_hull,convex,10,read_preprocess,0.0035288585999999995,9.111697158762474e-5,
5bus,convex_hull,convex,10,cluster,0.0549032916,0.0010447880146064546,
5bus,convex_hull,convex,10,fit_weights,0.0207931086,0.0006776124449102886,
5bus,convex_hull,convex,10,formulate_model,0.067066125,0.001186947828428021,
5bus,convex_hull,convex,10,solve,0.05735340800000001,0.0021766712437388206,
5bus,convex_hull,convex,20,read_preprocess,0.0034886168,5.683571863449966e-5,
5bus,convex_hull,convex,20,cluster,0.28547656660000004,0.08142943597657416,
5bus,convex_hull,convex,20,fit_weights,0.1667735752,0.10158166749675823,
5bus,convex_hull,convex,20,formulate_model,0.08520334999999998,0.001464259072477788,
5bus,convex_hull,convex,20,solve,0.12064220839999999,0.0035113693394893393,
5bus,convex_hull,convex,40,read_preprocess,0.0036798918,4.079652458482214e-5,
5bus,convex_hull,convex,40,cluster,0.8006788752,0.01329471056305801,
5bus,convex_hull,convex,40,fit_weights,0.2341891084,0.003678284792893938,
5bus,convex_hull,convex,40,formulate_model,0.1293726584,0.006273081544139082,
5bus,convex_hull,convex,40,solve,0.2384844668,0.008139914733541795,
5bus,convex_hull,convex,80,read_preprocess,0.0036594419999999997,6.513370687286267e-5,
5bus,convex_hull,convex,80,cluster,3.485664242,0.3851300274133287,
