name,seed,n_rep_periods,period_length,clustering_type,distance,weight_type,projection_error,termination_status,objective_value,evaluation_termination_status,evaluated_objective_value,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
gep_40_24_hull_euclidean_conical_1000_0.0001,522,40,24,hull,euclidean,conical,96.45815187951132,OPTIMAL,6.569264112526565e7,OPTIMAL,6.2637218641399726e7,0.0,0.0,0.007744416,5.7512115,9.374057958,2.030115,36.291044792,0.66358875
gep_80_24_k_means_euclidean_dirac_1000_0.0001,522,80,24,k_means,euclidean,dirac,93.68100603159563,OPTIMAL,5.406814567684231e7,OPTIMAL,7.815304723943137e7,0.0,0.0,0.007753875,0.209114166,1.166e-6,3.828051292,69.897878,0.66358875
gep_80_24_k_medoids_euclidean_dirac_1000_0.0001,522,80,24,k_medoids,euclidean,dirac,117.68921495237575,OPTIMAL,6.096659615870038e7,OPTIMAL,6.597175638762736e7,0.0,0.0,0.007997667,0.492542625,8.75e-7,4.615307333,48.499693958,0.66358875
gep_80_24_hull_euclidean_dirac_1000_0.0001,522,80,24,hull,euclidean,dirac,119.26227427209925,OPTIMAL,6.2487723378840365e7,OPTIMAL,6.238743738936756e7,0.0,0.0,0.007758125,5.0933415,9.58e-7,3.781229916,64.626699792,0.66358875
gep_80_24_k_means_euclidean_convex_1000_0.0001,522,80,24,k_means,euclidean,convex,86.60046972919189,OPTIMAL,5.389430693123945e7,OPTIMAL,7.797599412300111e7,0.0,0.0,0.007746,0.215300083,22.494513041,4.539783,187.907368583,0.66358875
gep_80_24_k_medoids_euclidean_convex_1000_0.0001,522,80,24,k_medoids,euclidean,convex,93.74799894075316,OPTIMAL,5.997835393542631e7,OPTIMAL,6.612374571618664e7,0.0,0.0,0.007854,0.45072975,18.306044958,4.082729,236.8922695,0.66358875
gep_80_24_hull_euclidean_convex_1000_0.0001,522,80,24,hull,euclidean,convex,78.0646361575528,OPTIMAL,6.384897304399819e7,OPTIMAL,6.22571923073665e7,0.0,0.0,0.007750792,5.068608167,17.977116625,3.940842208,149.920449125,0.66358875
gep_80_24_k_means_euclidean_conical_bounded_1000_0.0001,522,80,24,k_means,euclidean,conical_bounded,86.2443625015746,OPTIMAL,5.3665033377371565e7,OPTIMAL,7.843201539226194e7,0.0,0.0,0.007818916,0.218323459,22.567331417,4.039434292,176.604604042,0.66358875
gep_80_24_k_medoids_euclidean_conical_bounded_1000_0.0001,522,80,24,k_medoids,euclidean,conical_bounded,93.2715187073333,OPTIMAL,5.95928277145319e7,OPTIMAL,6.601662344943666e7,0.0,0.0,0.007812375,0.223657917,19.100560917,3.927203959,246.727099667,0.66358875
gep_80_24_hull_euclidean_conical_bounded_1000_0.0001,522,80,24,hull,euclidean,conical_bounded,77.37675934470052,OPTIMAL,6.370342761180399e7,OPTIMAL,6.243312839668772e7,0.0,0.0,0.007786833,5.676053958,17.953663958,3.963886042,208.271280542,0.66358875
gep_80_24_k_means_euclidean_conical_1000_0.0001,522,80,24,k_means,euclidean,conical,91.50768097192284,OPTIMAL,5.411101654868725e7,OPTIMAL,7.828696731910491e7,0.0,0.0,0.007714167,0.22678875,6.620133292,4.608216333,234.393978833,0.66358875
gep_80_24_k_medoids_euclidean_conical_1000_0.0001,522,80,24,k_medoids,euclidean,conical,106.3519972957914,OPTIMAL,6.0912943724208474e7,OPTIMAL,6.581347812922506e7,0.0,0.0,0.007731333,0.199659042,9.209062958,3.831852834,245.848933417,0.66358875
gep_80_24_hull_euclidean_conical_1000_0.0001,522,80,24,hull,euclidean,conical,106.56921104566369,OPTIMAL,6.338717001952739e7,OPTIMAL,6.226668003798109e7,0.0,0.0,0.0076845,9.275233,6.620481917,3.816304875,206.311461292,0.66358875
gep_1_8760_k_means_euclidean_dirac_1000_0.0001,587,1,8760,k_means,euclidean,dirac,0.0,OPTIMAL,6.1837278445682004e7,N/A,,0.0,0.0,0.007437959,0.212609166,1.417e-6,17.361972041,174.014610125,0.419225916
gep_5_24_k_means_euclidean_dirac_1000_0.0001,587,5,24,k_means,euclidean,dirac,119.15885343607431,OPTIMAL,5.1130120074035995e7,OPTIMAL,1.8132347472774518e8,0.0,0.0,0.00778725,0.357858667,8.75e-7,0.58944425,0.79872575,0.419225916
gep_5_24_k_medoids_euclidean_dirac_1000_0.0001,587,5,24,k_medoids,euclidean,dirac,147.71448108835776,OPTIMAL,5.287549701689109e7,OPTIMAL,1.5994003124883038e8,0.0,0.0,0.007745708,0.881723292,1.166e-6,0.598452375,1.085094459,0.419225916
gep_5_24_hull_euclidean_dirac_1000_0.0001,587,5,24,hull,euclidean,dirac,173.4717128208796,OPTIMAL,6.2857240149566785e7,OPTIMAL,1.2353053467369208e8,0.0,0.0,0.007728833,0.744460875,1.208e-6,0.670683333,0.767650958,0.419225916
gep_5_24_k_means_euclidean_convex_1000_0.0001,587,5,24,k_means,euclidean,convex,115.27102805737931,OPTIMAL,5.103980846175238e7,OPTIMAL,1.766771521762383e8,0.0,0.0,0.007832042,0.900882875,2.707494584,0.56085575,1.243471708,0.419225916
gep_5_24_k_medoids_euclidean_convex_1000_0.0001,587,5,24,k_medoids,euclidean,convex,133.43397128901418,OPTIMAL,5.288264368967347e7,OPTIMAL,1.5646681364912102e8,0.0,0.0,0.007776666,0.21094575,3.81451175,0.562866,1.471588625,0.419225916
gep_5_24_hull_euclidean_convex_1000_0.0001,587,5,24,hull,euclidean,convex,129.41207299677853,OPTIMAL,6.170421914749668e7,OPTIMAL,1.3263363744329967e8,0.0,0.0,0.007777875,1.167151042,3.041518041,0.544106958,1.33126075,0.419225916
gep_5_24_k_means_euclidean_conical_bounded_1000_0.0001,587,5,24,k_means,euclidean,conical_bounded,114.01934515176552,OPTIMAL,5.065374321743211e7,OPTIMAL,1.7313373089376804e8,0.0,0.0,0.007745833,0.208552958,3.637591125,0.54125,1.182113834,0.419225916
gep_5_24_k_medoids_euclidean_conical_bounded_1000_0.0001,587,5,24,k_medoids,euclidean,conical_bounded,130.45762468057166,OPTIMAL,5.21872833099272e7,OPTIMAL,1.5506196794688836e8,0.0,0.0,0.007853875,0.210705458,4.111913208,0.541104583,1.345467875,0.419225916
gep_5_24_hull_euclidean_conical_bounded_1000_0.0001,587,5,24,hull,euclidean,conical_bounded,120.63951748592591,OPTIMAL,6.0063438614278354e7,OPTIMAL,7.264181791575289e7,0.0,0.0,0.007742083,1.207167916,3.388350084,0.566376125,1.458068459,0.419225916
gep_5_24_k_means_euclidean_conical_1000_0.0001,587,5,24,k_means,euclidean,conical,115.04865492430278,OPTIMAL,5.177220503903552e7,OPTIMAL,1.833663783139645e8,0.0,0.0,0.007751959,0.208744083,2.432463042,0.534940875,1.099416083,0.419225916
gep_5_24_k_medoids_euclidean_conical_1000_0.0001,587,5,24,k_medoids,euclidean,conical,140.2147443790478,OPTIMAL,5.314974304139248e7,OPTIMAL,1.5985282363090986e8,0.0,0.0,0.00781825,0.205868208,2.198919959,0.56401375,1.21329175,0.419225916
gep_5_24_hull_euclidean_conical_1000_0.0001,587,5,24,hull,euclidean,conical,127.12535153190645,OPTIMAL,6.922484244260426e7,OPTIMAL,6.643101451200378e7,0.0,0.0,0.007692,2.990736625,0.044309875,0.590287125,1.074717167,0.419225916
gep_10_24_k_means_euclidean_dirac_1000_0.0001,587,10,24,k_means,euclidean,dirac,113.76643529763633,OPTIMAL,5.173350550777636e7,OPTIMAL,1.3117838763791856e8,0.0,0.0,0.007965,0.219309792,1.167e-6,0.909205292,2.137882125,0.419225916
gep_10_24_k_medoids_euclidean_dirac_1000_0.0001,587,10,24,k_medoids,euclidean,dirac,141.96924207749518,OPTIMAL,5.417770562724446e7,OPTIMAL,1.4654444576639667e8,0.0,0.0,0.007684875,0.212285,1.167e-6,0.68867325,2.199426917,0.419225916
gep_10_24_hull_euclidean_dirac_1000_0.0001,587,10,24,hull,euclidean,dirac,163.04728312214434,OPTIMAL,7.387734504087318e7,OPTIMAL,6.821735691224927e7,0.0,0.0,0.00779175,1.677881084,9.58e-7,0.761865958,2.661095792,0.419225916
gep_10_24_k_means_euclidean_convex_1000_0.0001,587,10,24,k_means,euclidean,convex,109.75232499543577,OPTIMAL,5.1779415804799445e7,OPTIMAL,1.3242641798781073e8,0.0,0.0,0.007765541,0.911648959,4.156507583,0.731283125,2.534540083,0.419225916
gep_10_24_k_medoids_euclidean_convex_1000_0.0001,587,10,24,k_medoids,euclidean,convex,124.83461105055868,OPTIMAL,5.389544715356297e7,OPTIMAL,1.4453644358079192e8,0.0,0.0,0.007699333,0.207828542,5.428382667,0.75260475,2.864562667,0.419225916
gep_10_24_hull_euclidean_convex_1000_0.0001,587,10,24,hull,euclidean,convex,113.57617621396463,OPTIMAL,7.14280855775156e7,OPTIMAL,6.943606140373045e7,0.0,0.0,0.007827375,1.656450916,4.498722958,0.760040208,2.443883333,0.419225916
gep_10_24_k_means_euclidean_conical_bounded_1000_0.0001,587,10,24,k_means,euclidean,conical_bounded,108.60912224309152,OPTIMAL,5.1393325141678825e7,OPTIMAL,1.3236147952123597e8,0.0,0.0,0.007800041,0.220424833,5.457272875,0.724092542,2.483661291,0.419225916
